timestamp,symbol,timeframe,index,f_body_size_pct,f_upper_wick_pct,f_lower_wick_pct,f_range_pct,f_close_position_in_range,f_bullish_candle,f_bearish_candle,f_ema20_distance_pct,f_ema20_slope,f_ema50_distance_pct,f_ema50_slope,f_ema100_distance_pct,f_ema100_slope,f_ema200_distance_pct,f_ema200_slope,f_ema20_vs_50,f_ema50_vs_100,f_ema100_vs_200,f_ema_alignment,f_rsi,f_rsi_distance_from_50,f_macd,f_macd_signal,f_macd_histogram,f_macd_histogram_slope,f_adx,f_atr,f_atr_pct,f_bb_position,f_bb_width,f_atr_percentile,f_structure_bias,f_last_bos_direction,f_last_bos_age,f_last_choch_direction,f_last_choch_age,f_bullish_fvg_present,f_bearish_fvg_present,f_nearest_bullish_fvg_distance_pct,f_nearest_bearish_fvg_distance_pct,f_bullish_ob_present,f_bearish_ob_present,f_nearest_bullish_ob_distance_pct,f_nearest_bearish_ob_distance_pct,f_demand_present,f_supply_present,f_buy_side_liquidity_distance_pct,f_sell_side_liquidity_distance_pct,f_liquidity_sweep_direction,f_liquidity_sweep_age,f_premium_discount_state,f_distance_from_equilibrium_pct,f_htf_1d_bias,f_htf_4h_bias,f_htf_1h_bias,f_htf_30m_bias,f_entry_15m_bias,f_mtf_alignment_score,f_higher_timeframe_bias,f_setup_bias,f_entry_bias,f_market_state_code,f_hour_utc,f_day_of_week,f_day_of_month,f_month,y_tb_horizon,y_tb_atr_mult,y_return_8,y_mfe_8,y_mae_8,y_direction,y_tb_atr
2026-02-20T22:30:00+00:00,PAXGUSD,15m,131,0.08016894137891291,0.005866020100899103,0.00391068006726014,0.08994564154707214,0.04347826086952224,0,1,0.34473292639896636,6.71813031567217,0.8080571522279166,5.471386365431499,1.295710731674479,4.196152345652081,,,0.004633242258289502,0.004876535794465623,,,70.2057069161691,20.205706916169106,14.36359531619928,13.322780242840496,1.0408150733587842,-0.6909615399013891,24.425137921451856,8.29111120243075,0.1621194165740634,0.8295172307501196,0.011627457834337407,0.38,1,1,10,1,35,1,0,0.037151460639015796,,1,0,0.7850690235031802,,1,0,,,,,1,0.723475812443784,0,0,0,1,1,60,0,1,1,0,22,4,20,2,8,1.0,0.00019553400336318487,0.0005083884087443518,0.0012709710218607017,FLAT,8.29111120243075
2026-02-20T22:45:00+00:00,PAXGUSD,15m,132,0.05477844077081447,0.0,0.06651667807883471,0.12129511884964919,0.548387096774151,0,1,0.26427457704245366,5.697355999894171,0.7260281161789386,5.099959449138623,1.218947875386868,4.033852299203318,,,0.00461753539136485,0.004929197592079294,,,67.18278785835042,17.182787858350423,13.801208351262176,13.418465864524833,0.38274248673734235,-1.2659479738159192,24.56597665872138,8.141746116542826,0.15928291336286463,0.7568110921806381,0.01176708800426123,0.33,1,1,11,1,36,1,1,0.0635821187518341,-0.06749486452119197,1,0,0.7326616453095924,,1,0,,,,,1,0.35703805145260686,0,0,0,1,1,60,0,1,1,0,22,4,20,2,8,1.0,0.0011542600019563017,0.001271642375036682,0.0007434216961753266,FLAT,8.141746116542826
2026-02-20T23:00:00+00:00,PAXGUSD,15m,133,0.01760976755106121,0.02347969006808754,0.00195664083901471,0.043046098458163456,0.04545454545471458,0,1,0.22674626011861448,4.497607809427791,0.6844925972856593,4.629372804073682,1.1815486723881252,3.817340372485887,,,0.004577463371670448,0.004970560751024658,,,66.38471751475888,16.384717514758876,13.147472599801404,13.364267211580147,-0.21679461177874337,-1.751789611396866,24.696755486185936,7.717335679646898,0.1510005415912753,0.7217311628280567,0.011620693608639638,0.19,1,1,12,1,37,1,1,0.04989434139469715,-0.05185098223369406,1,0,0.71906550833529,,1,0,,,,,1,0.34339046724583594,0,0,0,1,1,60,0,1,1,0,23,4,20,2,8,1.0,0.0021327385145182036,0.0022697033732486994,0.0006065586600924246,UP,7.717335679646898
2026-02-20T23:15:00+00:00,PAXGUSD,15m,134,0.019571769679414416,0.0019571769679485617,0.0,0.021528946647362976,0.0,0,1,0.1804166823992783,3.6121213513870316,0.6315040004857095,4.259593478423085,1.1316111142252687,3.6466999690701414,,,0.0045108731808643126,0.005001071137395591,,,64.72858924044826,14.728589240448258,12.373776810482013,13.16616913136052,-0.7923923208785073,-1.8332073942372915,24.57250085658399,7.266097416815016,0.14221038511009154,0.6797864105068739,0.010667046233194108,0.06,1,1,13,1,38,1,1,0.022507535131319454,-0.07926566720163195,1,0,0.6918620581672889,,1,0,,,,,-1,-0.08122284416958049,0,0,0,1,1,60,0,1,1,0,23,4,20,2,8,1.0,0.001370023877559009,0.002544330058323874,0.00033272008455000946,UP,7.266097416815016
2026-02-20T23:30:00+00:00,PAXGUSD,15m,135,0.009785118791342126,0.001957023758257746,0.03131238013230192,0.0430545226819018,0.9545454545456988,1,0,0.1703039252674885,3.106205032207072,0.614212752519396,4.025883930250529,1.1167892271369024,3.5408247221585043,,,0.004439088272519076,0.005025764746175063,,,64.99727481943597,14.997274819435972,11.658502026139104,12.864635710316238,-1.206133684177134,-1.5888761709144763,24.132956600054005,6.90423331561393,0.13511748631284845,0.6674615128222905,0.01009070726424361,0.01,1,1,14,1,39,1,1,0.03033386825316415,-0.009785118791324328,1,0,0.6996359935809621,,1,0,,,,,-1,-0.07338839093506595,0,0,0,1,1,60,0,1,1,0,23,4,20,2,8,1.0,0.0016243297193628285,0.0024658499354181093,-0.0001761321382440871,UP,6.90423331561393
2026-02-20T23:45:00+00:00,PAXGUSD,15m,136,0.056711514393001906,0.0,0.0,0.056711514393001906,1.0,1,0,0.22120434163709832,3.077042648187671,0.6610849032275099,3.977810050633707,1.1667012402755843,3.5261549256802027,,,0.004398805615904116,0.005056163370480743,,,67.52796684836252,17.527966848362524,11.268375035258032,12.545383575304598,-1.277008540046566,-1.0602139282678227,24.188794114769134,6.682502364498662,0.130680975526022,0.7193182103727347,0.009704020192802542,0.01,1,1,15,1,40,1,1,0.058667083854818516,0.0029333541927515972,1,0,0.7734277221526944,,1,0,,,,,0,0.0009777847309171991,0,0,0,1,1,60,0,1,1,0,23,4,20,2,8,1.0,0.0004106695869836229,0.0017209011264078676,0.0,UP,6.682502364498662
2026-02-21T00:00:00+00:00,PAXGUSD,15m,137,0.03127871288097206,0.011729517330351187,0.001954919555049641,0.04496314976637289,0.7391304347827634,1,0,0.23013927318430802,3.3458957293123603,0.6668792710528978,4.053190048648503,1.1757937268858165,3.5731617588362496,,,0.004367399978685898,0.005089144558329185,,,68.62098349112338,18.620983491123383,10.969917990719296,12.230290458387538,-1.2603724676682422,-0.4679801467897349,24.51205419413575,6.369466481320134,0.12451794579633911,0.7320502441524871,0.009240444542905296,0.01,1,1,16,1,41,1,0,0.06939964420464453,,1,0,0.8064043164623774,,1,0,,,,,1,0.038120931323672474,0,0,0,1,1,60,0,1,1,0,0,5,21,2,8,1.0,0.0005473774754169221,0.0013879928840927129,0.0002932379332590464,UP,6.369466481320134
2026-02-21T00:15:00+00:00,PAXGUSD,15m,138,0.01563691092824968,0.00781845546411595,0.029319207990461484,0.052774574382827115,0.8518518518519766,1,0,0.22233636911184224,3.6272389931873477,0.6556506515786719,4.141300242819852,1.1676577348478534,3.6271585556905848,,,0.004333142824668295,0.005120070832691817,,,69.14728716185968,19.14728716185968,10.674888477297827,11.919210062169597,-1.24432158487177,-0.03818790069463596,24.883600094737144,6.107361732654397,0.11937533927511965,0.7335928782728052,0.008337794665804338,0.01,1,1,17,1,42,1,0,0.04691073278473126,,1,0,0.8219151306659404,,1,0,,,,,1,0.05375188131584606,0,0,0,1,1,60,0,1,1,0,0,5,21,2,8,1.0,7.81845546411595e-05,0.00123140673559924,0.0003127382185649936,UP,6.107361732654397
2026-02-21T00:30:00+00:00,PAXGUSD,15m,139,0.015639662183300398,0.015639662183300398,0.003909915545820654,0.03518923991242145,0.11111111111099883,0,1,0.1852779285476523,3.434168612884605,0.6131450618093783,4.04164140976809,1.1274909645882811,3.5870168021119753,,,0.00427867133261726,0.005143459027789029,,,67.77016390352577,17.77016390352577,10.250293975587738,11.585426844853227,-1.3351328692654896,-0.05812432921892352,25.26621751040801,5.79969303746481,0.11338154984096048,0.6989247480425632,0.0072928344965507465,0.01,1,1,18,1,43,1,0,0.029324366593663796,,1,0,0.8044651235533242,,1,0,,,,,1,0.036166718798863275,0,0,0,1,1,60,0,1,1,0,0,5,21,2,8,1.0,0.00019549577729121052,0.0014075695964966802,0.00017594619956201834,UP,5.79969303746481
2026-02-21T00:45:00+00:00,PAXGUSD,15m,140,0.04494469847968251,0.01172470395123234,0.01172470395123234,0.06839410638214719,0.8285714285713246,1,0,0.2064565854873509,3.3071049354666684,0.6301515758546072,3.9654986093846674,1.1468285767488993,3.557570924841457,,,0.004236949903672564,0.0051667700089429195,,,69.37573027365366,19.37573027365366,9.976320574241072,11.263605590730798,-1.2872850164897258,-0.02691254882148364,25.77727891874624,5.635429249074467,0.1101228993057894,0.744381436437251,0.006511236631388495,0.01,1,1,19,1,44,1,0,0.07230234103253427,,1,0,0.8471098604760123,,1,0,,,,,1,0.0791417516707561,0,0,0,1,1,60,0,1,1,0,0,5,21,2,8,1.0,-0.00031265877203256624,0.0009770586626021028,0.000605776370813197,FLAT,5.635429249074467
